row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
390395,2026-07-17 20:01:30,1STCUS.BO,,,,,,,86400.0,2.0,63.9,63.6,68.94,1.0,1.47,1758153600.0,0.3704,,-0.187,304.0,304.0,216.0,-0.01736,-0.01777,,-1233063.0,79.59055,0.0,0.0,74184800.0,556774.0,1500000.0,0.61355,0.0,1500000.0,101.591,0.6688584,,-1.81,,-0.3210395,1.0,1758153600.0,BSE,EQUITY,27044792.0,18.22,,395996.0,301.0,301.0,101924992.0,60.26,108.8,21.985546,71.3856,45.745,55.613,4636000.0,0.263,3.088,,-0.553,1.0,0.0,-0.27583998,-0.58607,67.93,63.9,63.6,68.94,67.93,,,1STCUS.BO,FIRST CUSTODIAN FUND (INDIA) L,The First Custodian Fund (I) Ltd.,Capital Markets,Financial Services,67.95,,,,,,none,,0.03,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),4,4
390396,2026-07-17 20:01:30,20MICRONS.BO,411.0,,,,,,86400.0,2.0,203.55,198.5,207.5,1.25,0.73,1753315200.0,0.0684,,0.369,10784.0,10784.0,32740.0,,,,,216.672,0.0,0.0,7029148160.0,14445335.0,35286502.0,0.54675996,0.00016000001,35286503.0,128.709,1.5873016,0.16,18.27,,-0.106589675,1.25,1784246400.0,BSE,EQUITY,583459968.0,16.541,1173447936.0,1633657984.0,6732.0,6732.0,7209032704.0,158.0,284.1,0.78340775,191.44,,,9202146304.0,35.637,260.903,0.162,0.001,0.47129002,0.12752,0.10623,0.07001,204.3,203.55,198.5,207.5,204.3,11.182266,,20MICRONS.BO,20 MICRONS LTD.,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,204.3,,,,,,none,,0.0,3.7,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,6,1
390397,2026-07-17 20:01:30,21STCENMGM.BO,,,,,,,86400.0,2.0,33.0,33.0,33.84,,,1721952000.0,0.0,,0.598,21.0,21.0,1011.0,-0.30996,-0.57208,13173875.0,-23686000.0,39.078,0.0,0.0,313380384.0,2895772.0,10500000.0,0.73423,0.0,10500000.0,31.49,1.0746269,,-22.9,,-0.44551975,2.5,1721952000.0,BSE,EQUITY,35456000.0,3.378,-239438000.0,0.0,1672.0,1672.0,355320000.0,28.62,62.15,-2.1052382,33.2944,1.522,2.928,-168779008.0,,-16.073,,,0.0,0.0,1.32821,0.0,33.23,33.0,33.0,33.84,33.23,,,21STCENMGM.BO,TWENTYFIRST CENTURY MANAGEMENT,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,33.84,,,,,,none,,1.84,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),13,13
390398,2026-07-17 20:01:30,360ONE.BO,,,,,,,86400.0,2.0,1105.55,1086.35,1127.7,18.0,1.66,1777248000.0,0.3989,2.59,,249928.0,249928.0,292750.0,,,,,1101.516,6.0,0.0055383765,,266765762.0,406685017.0,0.17006001,0.6749,406685017.0,242.533,4.59422,0.161,30.12,41.47404,-0.097997606,6.0,1777248000.0,BSE,EQUITY,,,30186725376.0,,542416.0,542416.0,453148803072.0,906.2,1235.65,9.499298,1101.614,,,47703400448.0,161.977,117.646,0.128,0.299,0.72869,0.6328,0.6107,0.26455998,1083.35,1105.55,1086.35,1127.7,1083.35,36.99369,26.866203,360ONE.BO,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,1114.25,1600.0,1200.0,1332.8182,1300.0,1.54545,buy,11.0,2.85,2.9,Hold,Buy,High Beta (more volatile)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum,11,5
390399,2026-07-17 20:01:30,3IINFOLTD.BO,,,,,,,86400.0,2.0,18.35,18.09,18.55,,,1309996800.0,0.0,3.81,-0.175,24811.0,24811.0,35254.0,-0.0382,0.10256,201337504.0,-435800000.0,16.60975,0.0,0.0,3680182272.0,193287917.0,207403767.0,0.13338,0.0022200001,207403767.0,17.827,1.0276546,,1.82,,-0.27923626,14.210196,1309996800.0,BSE,EQUITY,776000000.0,3.629,-180000000.0,615699968.0,51108.0,51108.0,3799636736.0,12.61,26.23,0.54800344,17.4898,0.754,1.131,6933600256.0,16.298,35.783,,-0.06,0.08254,-0.02596,-0.08226,0.05114,18.12,18.35,18.09,18.55,18.12,10.065933,,3IINFOLTD.BO,3I INFOTECH LTD.,,Information Technology Services,Technology,18.32,,,,,,none,,1.1,2.2,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,15,13
390400,2026-07-17 20:01:30,3MINDIA.BO,,,,,,,86400.0,2.0,35000.0,34658.1,35300.0,160.0,0.45,1784246400.0,0.3451,,0.27,283.0,283.0,285.0,0.18757,0.289,4592943104.0,5137200128.0,33385.48,160.0,0.004509195,395089215488.0,2661810.0,11265070.0,0.7648,0.09646,11265070.0,1562.354,22.325512,2.031,464.83,753.4,0.18720853,506.0,1784246400.0,BSE,EQUITY,8177800192.0,722.598,9857599488.0,1697500032.0,356.0,356.0,392929607680.0,28747.3,38300.0,7.7200027,33042.797,1.422,2.182,50897600512.0,9.6,4518.146,2.018,0.168,0.42368,0.19368,0.17216998,0.10262,35483.05,35000.0,34658.1,35300.0,35483.05,75.03895,46.297253,3MINDIA.BO,3M INDIA LTD.,3M India Limited,Conglomerates,Industrials,34880.35,36726.0,36726.0,36726.0,36726.0,,none,1.0,-1.7,2.5,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,18,10
390401,2026-07-17 20:01:30,3PLAND.BO,1.0,,,,,,86400.0,2.0,32.99,32.09,33.0,,,1282089600.0,0.0,,-0.314,162.0,162.0,378.0,0.0136899995,0.01783,-4006500.0,588000.0,35.4654,0.0,0.0,556569024.0,3708360.0,18000000.0,0.80564004,0.0,18000000.0,58.143,0.5617185,0.12,1.21,,-0.35394543,0.2,1282089600.0,BSE,EQUITY,1971000.0,0.11,29809000.0,0.0,513.0,513.0,587880000.0,26.41,54.0,12.578202,32.1856,1.147,129.227,46738000.0,,2.597,0.09,0.095,0.99848,0.63778996,0.55317,0.46602002,31.03,32.99,32.09,33.0,31.03,26.991735,,3PLAND.BO,3P LAND HOLDINGS LTD.,3P Land Holdings Limited,Real Estate Services,Real Estate,32.66,,,,,,none,,5.25,2.1,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum),16,8
390402,2026-07-17 20:01:30,5PAISA.BO,,,,,,,86400.0,2.0,378.0,360.0,380.05,,,,0.0,,,4009.0,4009.0,4492.0,,,,,326.45126,0.0,0.0,,24585420.0,46879257.0,0.71242,0.123430006,46879257.0,207.533,1.7616476,0.002,13.04,,-0.02952683,,,BSE,EQUITY,,,,,5642.0,5642.0,17139056640.0,245.0,405.8,5.7746596,336.308,,,2967976960.0,58.31,85.854,-0.293,0.134,1.0,0.0,0.19328,0.14894,384.55,378.0,360.0,380.05,384.55,28.03681,,5PAISA.BO,5paisa Capital Limited,5paisa Capital Limited,Capital Markets,Financial Services,365.6,,,,,,none,,-4.93,2.1,Buy,Hold,High Beta (more volatile)- Price-to-Book ratio (<2) indicates potential for growth,Hold,Strong Revenue Growth (>10%),Buy,Trading near its 52-week high (bullish momentum),17,16
390403,2026-07-17 20:01:30,63MOONS.BO,,,,,,,86400.0,2.0,688.05,679.25,729.0,1.2,0.17,1758067200.0,0.3854,5.9,0.716,17900.0,17900.0,15806.0,-0.05193,-0.0152,-2795436032.0,-2929723904.0,685.0588,2.0,0.0028891296,13385511936.0,21352435.0,46078537.0,0.58128,0.00487,46078537.0,770.436,0.9390138,1.046,-4.85,,-0.33702052,1.2,1758067200.0,BSE,EQUITY,19559452672.0,424.268,-2816858880.0,54222000.0,34174.0,34174.0,33335517184.0,465.55,1111.0,15.754509,665.303,9.925,11.277,2115934976.0,0.149,45.934,1.043,5.195,0.030989999,-1.3312601,-0.63594,-0.10602,692.25,688.05,679.25,729.0,692.25,,,63MOONS.BO,63 Moons Technologies Limited,63 moons technologies limited,Software - Application,Technology,723.45,,,,,,none,,4.51,4.1,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,2,1
390404,2026-07-17 20:01:30,7NR.BO,,,,,,,86400.0,2.0,5.95,5.6,5.95,,,1568851200.0,0.0,,0.546,92017.0,92017.0,179724.0,-0.01454,0.00513,-6718000.0,-18183000.0,4.4817,0.0,0.0,201803904.0,23572762.0,28006800.0,0.15712,0.0,28006800.0,10.104,0.56710213,,0.05,,-0.24500668,0.037128,1568851200.0,BSE,EQUITY,9406000.0,0.326,-7976000.0,47450000.0,88655.0,88655.0,160478960.0,2.75,7.84,1.2695919,5.6338,1.408,5.965,126402000.0,16.259,4.233,,,0.13539,-0.0631,3.2842498,0.01181,5.67,5.95,5.6,5.95,5.67,114.6,,7NR.BO,7NR Retail Limited,JPY/KMF,Apparel Retail,Consumer Cyclical,5.73,,,,,,none,,1.06,1.0,Strong Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,No strong momentum,28,9
390405,2026-07-17 20:01:30,7TEC.BO,,,,,,,86400.0,2.0,36.95,34.65,36.95,1.5,4.16,1771200000.0,0.4777,4.02,0.514,15001.0,15001.0,13165.0,0.08605,0.16408001,-48253500.0,32535000.0,40.5702,1.5,0.041597337,350391456.0,3725702.0,10878748.0,0.63506,0.0,10878748.0,19.73,1.7800304,0.63,3.14,,-0.18637186,1.5,1771200000.0,BSE,EQUITY,44311000.0,4.048,38592000.0,0.0,13450.0,13450.0,382061632.0,30.06,50.2,2.0216079,36.8596,6.045,6.052,188988992.0,,17.346,0.628,0.352,0.35097998,0.2042,0.17581,0.18101999,36.06,36.95,34.65,36.95,36.06,11.184712,,7TEC.BO,SAVEN TECHNOLOGIES LTD.,Saven Technologies Limited,Information Technology Services,Technology,35.12,,,,,,none,,-2.61,3.7,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,4,3
390406,2026-07-17 20:01:30,A2ZINFRA.BO,6218.0,,,,,,86400.0,2.0,13.0,12.81,13.6,,,1316649600.0,0.0,,0.107,21634.0,21634.0,24382.0,,,,,15.6218,0.0,0.0,2829540608.0,104398024.0,177522358.0,0.36766,0.0,177522358.0,2.693,4.797623,,0.25,,-0.3887868,2.0,1316649600.0,BSE,EQUITY,43846000.0,0.272,206873504.0,912934976.0,27678.0,27678.0,2293588736.0,12.81,23.25,0.5959681,14.3564,,,3848508928.0,353.886,21.496,,0.289,0.15529999,0.05375,-0.01511,0.00619,13.3,13.0,12.81,13.6,13.3,51.68,,A2ZINFRA.BO,A2Z INFRA ENGINEERING LIMITED,A2Z Infra Engineering Limited,Engineering & Construction,Industrials,12.92,,,,,,none,,-2.86,1.0,Strong Buy,Hold,Low Beta (less volatile than the market),Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum),29,19
390407,2026-07-17 20:01:30,AAATECH.BO,,,,,,,86400.0,2.0,94.2,88.0,94.2,1.5,1.6,1756339200.0,0.9317,,0.318,1270.0,1270.0,1952.0,0.02562,0.06677,-155164128.0,26964000.0,97.02845,0.0,0.0,1152566528.0,4863162.0,12826800.0,0.71708,0.0,12826800.0,23.934,3.7632656,,1.61,,-0.0042287707,1.5,1756339200.0,BSE,EQUITY,65973000.0,5.1,16579000.0,0.0,2030.0,2030.0,1155309824.0,75.0,136.67,5.6692305,95.243,7.506,18.862,203786000.0,,15.905,,-0.681,0.49051997,0.08135,-0.30162,0.10123,94.19,94.2,88.0,94.2,94.19,55.9441,,AAATECH.BO,AAA TECHNOLOGIES LIMITED,AAA Technologies Limited,Information Technology Services,Technology,90.07,,,,,,none,,-4.37,2.2,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),,,Hold,Trading near its 52-week low (bearish momentum),15,13
390408,2026-07-17 20:01:30,AADHARHFC.BO,5430.0,,,,,,86400.0,2.0,515.2,509.65,519.05,,,,0.0,,0.369,14730.0,14730.0,115025.0,0.0433,0.15753001,,-28078800896.0,486.656,0.0,0.0,408963776512.0,108664505.0,437337117.0,0.7478,0.09488,437337117.0,173.074,2.9851394,0.27,24.75,37.20026,0.01901555,,,BSE,EQUITY,7909499904.0,18.153,,192725499904.0,247343.0,247343.0,225950236672.0,425.05,563.0,9.940136,494.646,5.753,5.877,22731100160.0,255.574,52.508,0.26,0.244,0.98407996,0.0,0.60558,0.48211,514.45,515.2,509.65,519.05,514.45,20.874748,13.888345,AADHARHFC.BO,Aadhar Housing Finance Limited,,Mortgage Finance,Financial Services,516.65,650.0,600.0,621.8333,620.0,1.08333,strong_buy,12.0,0.43,2.1,Buy,Hold,Low Beta (less volatile than the market),Buy,Low Forward P/E (<20) indicates growth potential- Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum,17,8
390409,2026-07-17 20:01:30,AADIIND.BO,,,,,,,86400.0,2.0,8.5,7.99,8.8,,,1316649600.0,0.0,,0.056,2678.0,2678.0,5122.0,-0.083050005,,-24102250.0,-24786000.0,8.2427,0.0,0.0,179523712.0,5821413.0,10000000.0,0.39735,0.0,10000000.0,-6.923,-1.1541239,,-0.18,,0.68200004,0.5,1316649600.0,BSE,EQUITY,982000.0,0.097,-1804000.0,94964000.0,947.0,947.0,79900000.0,4.49,13.43,,9.252,0.26,0.268,,,,,,0.0,0.0,0.0,0.0,8.41,8.5,7.99,8.8,8.41,,,AADIIND.BO,AADI INDUSTRIES LTD.,Aadi Industries Limited,Specialty Chemicals,Basic Materials,7.99,,,,,,none,,-4.99,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,No strong momentum,17,13
390410,2026-07-17 20:01:30,AAIL.BO,,,,,,,86400.0,2.0,95.8,93.0,102.5,0.6,0.65,1757635200.0,0.70589995,1.86,0.887,28586.0,28586.0,5427.0,0.042280003,0.01825,-57052700.0,291828576.0,113.30675,0.0,0.0,1819938432.0,2610661.0,10788010.0,0.77664,0.0,10788010.0,47.461,2.0823414,,0.85,,-0.44109756,0.6,1757635200.0,BSE,EQUITY,87774712.0,8.193,216872320.0,925755584.0,16048.0,16048.0,1066179072.0,74.05,204.6,0.31258807,92.9012,0.329,1.085,3410811904.0,182.073,314.514,,-0.157,0.4081,0.06358,0.054369997,0.0027,91.66,95.8,93.0,102.5,91.66,116.270584,,AAIL.BO,Akar Auto Industries Limited,Akar Auto Industries Limited,Auto Parts,Consumer Cyclical,98.83,,,,,,none,,7.82,2.2,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),,,Hold,Trading near its 52-week low (bearish momentum),20,14
390411,2026-07-17 20:01:30,AANANDALAK.BO,,,,,,,86400.0,2.0,13.0,13.0,13.0,,,,0.0,,0.313,2.0,2.0,239.0,0.12097,,78650248.0,25413000.0,12.19195,0.0,0.0,159064368.0,1069196.0,3499270.0,0.6833,0.0,3499270.0,-52.594,-0.24717647,-0.915,4.72,,-0.29347825,,,BSE,EQUITY,238000.0,0.068,13143000.0,113959000.0,25.0,25.0,45490512.0,8.7,18.95,2.2377152,12.347,0.013,0.132,20329000.0,,5.811,-0.915,-0.564,0.92705,0.64651,0.74017,-1.47135,13.0,13.0,13.0,13.0,13.0,2.7542374,,AANANDALAK.BO,Aananda Lakshmi Spinning Mills,Aananda Lakshmi Spinning Mills Limited,Textile Manufacturing,Consumer Cyclical,13.0,,,,,,none,,0.0,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,No strong momentum,17,10
390412,2026-07-17 20:01:30,AANCHALISP.BO,,,,,,,86400.0,2.0,88.8,88.8,91.45,,,,0.0,,0.74,18432.0,18432.0,13191.0,0.02693,0.34707,41307124.0,-17791000.0,157.6106,0.0,0.0,221283776.0,670593.0,4233331.0,0.8889,0.0,4233331.0,28.919,3.0706456,,7.13,,-0.8169291,,,BSE,EQUITY,60381000.0,21.311,33676000.0,16890000.0,18988.0,18988.0,375919808.0,7.62,508.0,0.3806274,71.7454,0.476,0.916,987632000.0,20.614,348.467,,0.109,0.1276,0.0341,-0.00066,0.02046,93.45,88.8,88.8,91.45,93.45,12.454418,,AANCHALISP.BO,Aanchal Ispat Limited,Aanchal Ispat Limited,Steel,Basic Materials,88.8,,,,,,none,,-4.98,2.2,Buy,Hold,Low Beta (less volatile than the market),Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum),21,16
390413,2026-07-17 20:01:30,AAREYDRUGS.BO,,,,,,,86400.0,2.0,77.28,77.28,77.28,,,1544659200.0,0.0,,1.118,140.0,140.0,6891.0,0.00918,0.02747,-294908128.0,101392000.0,77.95775,0.0,0.0,2817128704.0,13228121.0,28354303.0,0.51155,0.01055,28354303.0,52.865,1.4618367,2.313,1.39,,0.18393397,0.1,1544659200.0,BSE,EQUITY,33980000.0,1.194,71719000.0,607486976.0,15208.0,15208.0,2191220480.0,50.4,100.0,0.4639772,84.2952,0.917,1.812,4722690048.0,40.385,165.975,2.516,0.753,0.037609998,0.015190001,0.01844,0.0084,78.85,77.28,77.28,77.28,78.85,55.597122,,AAREYDRUGS.BO,AAREY DRUGS & PHARMACEUTICALS,,Drug Manufacturers - Specialty & Generic,Healthcare,77.28,,,,,,none,,-1.99,1.3,Strong Buy,Hold,High Beta (more volatile)- Price-to-Book ratio (<2) indicates potential for growth,Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,20,19
390414,2026-07-17 20:01:30,AARTECH.BO,,,,,,,86400.0,2.0,47.0,47.0,49.4,0.13,0.25,1758585600.0,0.1,0.57,0.748,1583.0,1583.0,28233.0,0.07511,0.11931,-29682124.0,-7495000.0,47.9091,0.0,0.0,1704926464.0,11761674.0,31770375.0,0.70071,0.0,31770375.0,9.759,4.857055,,1.25,,-0.29625928,0.125,1758585600.0,BSE,EQUITY,123730000.0,3.44,61347000.0,56170000.0,75701.0,75701.0,1505915904.0,34.0,72.0,3.683369,45.8224,2.032,2.854,408841984.0,16.02,12.623,,0.655,0.44983003,0.15005,0.07764,0.099020004,49.29,47.0,47.0,49.4,49.29,37.920002,,AARTECH.BO,Aartech Solonics Limited,Aartech Solonics Limited,Electrical Equipment & Parts,Industrials,47.4,,,,,,none,,-3.83,2.6,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,17,8
390415,2026-07-17 20:01:30,AARTIDRUGS.BO,,,,,,,86400.0,2.0,419.9,410.15,425.95,2.0,0.48,1770595200.0,0.0936,2.33,0.354,17113.0,17113.0,8972.0,0.05673,0.13359,-60057500.0,2535399936.0,398.963,2.0,0.004764741,43818160128.0,35353528.0,91270000.0,0.60169,0.11106,91270000.0,169.788,2.4910479,-0.122,21.37,26.4,-0.1968813,2.0,1770595200.0,BSE,EQUITY,242800000.0,2.662,3115899904.0,5766400000.0,14629.0,14629.0,38602649600.0,318.6,574.95,1.5047947,380.934,0.926,1.591,25653100544.0,37.221,281.115,-0.12,0.064,0.36900002,0.12146,0.10901,0.07598,419.75,419.9,410.15,425.95,419.75,19.791763,16.020834,AARTIDRUGS.BO,AARTI DRUGS LTD.,Aarti Drugs Limited,Drug Manufacturers - Specialty & Generic,Healthcare,422.95,439.0,439.0,439.0,439.0,2.0,buy,1.0,0.76,3.4,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Buy,Low Forward P/E (<20) indicates growth potential,Hold,No strong momentum,4,4
390416,2026-07-17 20:01:30,AARTIIND.BO,5868.0,,,,,,86400.0,2.0,506.2,485.0,506.2,1.0,0.23,1755475200.0,0.096099995,0.31,0.375,30882.0,30882.0,129029.0,,,,,406.80426,0.0,0.0,202369286144.0,205189646.0,362594369.0,0.42528,0.21774,362594370.0,156.811,3.1471004,1.891,10.41,16.06441,-0.05685687,1.0,1755475200.0,BSE,EQUITY,1690000000.0,4.663,10759749632.0,39729999872.0,201873.0,201873.0,178940313600.0,338.2,506.2,2.2285862,369.272,,,80293199872.0,69.555,221.351,1.882,0.26,0.32898998,0.13401,0.08844,0.047059998,504.5,506.2,485.0,506.2,504.5,47.40634,30.720083,AARTIIND.BO,AARTI INDUSTRIES LTD.,Aarti Industries Limited,Specialty Chemicals,Basic Materials,493.5,640.0,350.0,494.5,502.5,2.0,buy,22.0,-2.18,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Buy,Trading near its 52-week high (bullish momentum),14,11
390417,2026-07-17 20:01:30,AARTIPHARM.BO,,,,,,,86400.0,2.0,719.95,697.4,720.35,4.0,0.56,1771200000.0,0.2078,,0.216,5938.0,5938.0,12125.0,0.058330003,0.08492,-1659496192.0,2619314944.0,724.61926,3.5,0.004877029,72923709440.0,47928005.0,90679813.0,0.44221002,0.12535,90679813.0,234.275,3.0116317,-0.308,19.23,25.5,-0.24481744,1.5,1771200000.0,BSE,EQUITY,96159000.0,1.06,4024176896.0,7937210880.0,8842.0,8842.0,63979143168.0,583.85,969.05,3.5164144,682.765,0.643,1.49,18194425856.0,37.359,200.682,-0.308,0.033,0.54116,0.22118,0.175,0.096020006,717.65,719.95,697.4,720.35,717.65,36.690067,27.668627,AARTIPHARM.BO,Aarti Pharmalabs Limited,Aarti Pharmalabs Limited,Drug Manufacturers - Specialty & Generic,Healthcare,705.55,740.0,740.0,740.0,740.0,,none,1.0,-1.69,2.6,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),,,Hold,No strong momentum,10,10
390418,2026-07-17 20:01:30,AARTISURF.BO,,,,,,,86400.0,2.0,385.95,383.2,399.25,1.0,0.26,1757980800.0,0.0687,,0.622,971.0,971.0,993.0,0.037130002,0.05169,177834496.0,766470976.0,405.11624,1.0,0.0025856497,4177701888.0,3780817.0,8470905.0,0.55244,0.0,8470905.0,289.663,1.3520885,-0.569,14.54,,-0.33134508,1.0,1757980800.0,BSE,EQUITY,134310000.0,15.884,472112992.0,1041825984.0,675.0,675.0,3317629952.0,317.65,589.95,0.38601363,383.253,0.602,1.325,8594592768.0,42.536,1015.995,-0.57,0.268,0.15866,0.05493,0.034140002,0.014359999,386.75,385.95,383.2,399.25,386.75,26.936039,,AARTISURF.BO,Aarti Surfactants Limited,Aarti Surfactants Limited,Specialty Chemicals,Basic Materials,391.65,,,,,,none,,1.27,3.0,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,13,10
390419,2026-07-17 20:01:30,AARVEEDEN.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,2.6,Hold,Hold,High Beta (more volatile),,,,,2,2
390420,2026-07-17 20:01:30,AAVAS.BO,,,,,,,86400.0,2.0,1496.4,1478.2,1508.55,,,,0.0,,0.525,4457.0,4457.0,56621.0,0.03288,0.13916,,-13864162304.0,1425.618,0.0,0.0,257572061184.0,39175033.0,79290026.0,0.50769,0.30687,79290026.0,637.792,2.3219168,0.182,82.15,116.88551,-0.20942146,,,BSE,EQUITY,18432993280.0,232.761,,156855713792.0,55132.0,55132.0,117420597248.0,1050.25,1949.85,7.544991,1414.301,1603.958,1603.958,15562722304.0,310.553,196.577,0.183,0.192,0.99338996,0.0,0.53083,0.42080003,1504.55,1496.4,1478.2,1508.55,1504.55,18.026781,12.669662,AAVAS.BO,AAVAS Financiers Limited,Aavas Financiers Limited,Mortgage Finance,Financial Services,1480.9,2269.0,1440.0,1678.7368,1650.0,1.94737,buy,19.0,-1.57,2.5,Buy,Hold,Low Beta (less volatile than the market),Buy,Low Forward P/E (<20) indicates growth potential- Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum,14,6
390421,2026-07-17 20:01:30,ABAN.BO,27.0,,,,,,86400.0,2.0,15.02,14.4,15.02,,,1442188800.0,0.0,1.13,-0.228,14910.0,14910.0,18596.0,0.027590001,,10647661568.0,162000000.0,39.7603,0.0,0.0,162514698240.0,29493443.0,58365323.0,0.49345002,0.0,58365323.0,-4605.177,-0.0031812026,,-187.92,,-0.5242044,3.6,1442188800.0,BSE,EQUITY,1491510016.0,25.557,914000000.0,162784133120.0,16459.0,16459.0,855051968.0,14.4,61.28,0.18949822,24.7922,0.01,0.023,4512189952.0,,77.318,,-0.617,0.89424,0.20256001,-0.06665,-2.43046,15.15,15.02,14.4,15.02,15.15,,,ABAN.BO,ABAN OFFSHORE LTD.,Aban Offshore Limited,Oil & Gas Drilling,Energy,14.65,,,,,,none,,-3.3,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),8,1
